⛹🏽	[204.60074976569823, 211.6791237113402, 221.18052952202436]
㊙	[170.83147485798443, 170.83147485798443, 170.83010730065223]
🧏🏽	[162.42262839201615, 175.4850863422292, 195.5409284592958]
😚	[130.60141607663473, 208.5572678050812, 244.87692628071636]
🇧🇷	[121.76479076479076, 169.59018759018758, 98.89484126984127]
💁🏼‍♀	[169.5481505102041, 170.32546768707482, 202.62127976190476]
🚶	[201.6869092627599, 208.59050094517957, 213.1869092627599]
🎛	[158.00843398583925, 155.24073302790504, 151.44741774260726]
🧑🏻‍🦼	[189.01341050254095, 187.8119706380576, 192.49124788255224]
🇲🇿	[93.77940115440116, 132.59650072150072, 137.4933261183261]
🧑🏾‍🤝‍🧑🏼	[196.2700556938026, 202.23189951416043, 209.12785875103685]
🚶🏽‍♂️	[192.64947368421053, 187.34126315789473, 203.00736842105263]
👷🏿‍♂️	[134.3422064477965, 170.73395445134577, 186.04362614611063]
🦗	[184.07098674521356, 194.89469808541975, 204.5622974963181]
😖	[131.88681799250313, 211.49802165764265, 243.8235110370679]
🛥	[220.6188725490196, 216.40588235294118, 208.09031862745098]
💷	[199.93325697625988, 197.8921282798834, 210.14795918367346]
👦🏾	[110.17126704356501, 125.79071056423899, 151.45737723090568]
🇲🇹	[156.1156204906205, 148.28391053391053, 212.24404761904762]
✌🏽	[154.28051213834385, 175.05304289990022, 207.06717658796143]
🎸	[210.365453397854, 211.69766463286345, 241.6208710288239]
🎩	[105.23300844704353, 118.09083820662768, 122.60285899935023]
💁🏾‍♂	[170.8093112244898, 165.0435799319728, 166.5389030612245]
🛢	[145.9472094960433, 145.80528946272386, 191.58236151603498]
👨‍🦯	[216.3233848314607, 219.69791666666666, 229.0996020599251]
🦸‍♂️	[147.2219908371512, 173.71907538525613, 215.98792169929197]
🤟🏻	[218.92683215130023, 234.4436170212766, 250.34408983451536]
👩🏻‍🔧	[154.74996597250578, 146.95658091738125, 149.22294814209883]
✍🏽	[165.5948700716846, 177.8092517921147, 197.8138440860215]
🏊🏼	[222.26417525773195, 224.4979954180985, 225.58719931271477]
🤦🏼‍♂	[183.98094543940024, 195.4082673885881, 204.90420658059142]
🐴	[154.6851604278075, 178.14264705882354, 189.53729946524064]
🤚🏻	[214.54949695689976, 231.26120978760403, 249.7207800273258]
🙋🏿‍♀	[131.00522069292833, 110.71879449454201, 135.8967726625534]
👨🏾‍⚕️	[142.89631405454, 152.61612226550795, 167.1881929877135]
🙋🏿‍♀️	[131.00522069292833, 110.71879449454201, 135.8967726625534]
🏋‍♂	[177.8568101153505, 192.28615794143744, 206.03804347826087]
💆‍♀	[101.56570980040368, 178.3338192419825, 220.94718546759364]
🤾🏼‍♀️	[220.86071735395188, 226.4196735395189, 228.72164948453607]
💊	[141.9469135802469, 190.75901234567903, 232.13604938271604]
🍴	[215.85773195876288, 211.65438144329897, 207.09948453608249]
👩🏾‍🦼	[183.63876341050255, 178.90513833992094, 187.82961603613776]
🏌🏻‍♀️	[206.644168814433, 209.76626932989691, 221.5349548969072]
🗺️	[200.4036859641816, 193.9710537276135, 156.67492711370264]
🚵🏼‍♀️	[136.8765097875885, 146.146293211162, 168.63765097875884]
👨🏿‍✈️	[115.26656848306332, 123.17481590574374, 128.75935198821796]
🤾🏻	[228.32184278350516, 231.61898625429552, 235.37661082474227]
🧑🏼‍🎤	[151.4106104651163, 196.00278585271317, 170.02531492248062]
💁🏼‍♂	[192.35661139455783, 194.21194727891157, 196.34948979591837]
👨🏼‍⚖️	[157.14573934837094, 181.71666666666667, 202.8936090225564]
👩🏽‍🎓	[111.27456275720165, 124.32600308641975, 142.31828703703704]
🏊🏾‍♂️	[203.48052691867125, 206.55068728522338, 211.16752577319588]
💕	[216.41101290014333, 177.91340181557572, 245.68430482560916]
🧑🏿‍🤝‍🧑🏾	[188.80282023936485, 191.4318047161986, 196.46107358691788]
⚛️	[200.7185547688463, 120.93721366097459, 182.55383173677635]
👨🏽‍⚖️	[138.72092731829574, 155.71165413533834, 179.77167919799498]
👸	[103.95870786516853, 188.93974719101124, 226.98988764044944]
🖖🏻	[216.0007183908046, 231.92420977011494, 249.709530651341]
🏐	[203.91269284712482, 203.91269284712482, 203.91269284712482]
💟	[205.9856309870887, 134.2545814244065, 189.67388588088298]
🐌	[150.4224349533628, 176.306823760432, 201.6755031909671]
✔	[168.52872260015118, 168.52872260015118, 168.5283446712018]
🚣🏼‍♂️	[181.15200562983813, 189.70320197044336, 231.02023223082335]
😫	[128.13150770512286, 202.30716368179924, 236.08433985839233]
👩🏽‍🤝‍👩🏿	[170.29847815414826, 171.52994599901817, 188.36156111929307]
🏄‍♀	[194.95240184250932, 211.90754551436717, 232.65661329238867]
👨🏿‍🤝‍👨🏻	[171.93574682330376, 174.7103812035483, 187.73735315272117]
🏪	[180.64250886524823, 185.40226063829786, 171.53102836879432]
☔	[241.56371158392434, 204.8434988179669, 202.4594562647754]
🙋🏼‍♀️	[165.8419553868059, 165.97911722828667, 202.41931656383483]
💪🏻	[212.2759831460674, 229.38658707865167, 248.38611891385767]
👌🏿	[153.80011261261262, 158.79659346846847, 169.10909346846847]
🏌️‍♀	[214.89679911699778, 219.58291942604856, 221.32139900662253]
🤒	[136.89712619741775, 207.53613077884214, 242.8020616409829]
👯‍♀️	[170.09095896423085, 205.96379196840027, 221.21922317314022]
💻	[110.21532694710537, 110.2112661391087, 110.21147438567263]
🙆🏿	[142.691878813381, 144.65158847043972, 148.9765411319167]
✋🏾	[152.84131075110457, 171.4047619047619, 199.20274914089347]
🕰	[155.14764681382758, 169.7512494793836, 190.37817576009996]
🇸🇲	[198.72005772005772, 179.02435064935065, 135.72997835497836]
🕴	[153.6873815839333, 161.39484653277756, 166.3580901856764]
⁉️	[153.75014204545454, 169.95170454545453, 242.78892045454546]
🚎	[191.0206207482993, 174.56600765306123, 144.93866921768708]
💮	[212.69792705908435, 212.6530318146547, 254.5207848353841]
😔	[131.71824239900042, 211.704289879217, 244.35297792586422]
©️	[167.77232142857142, 167.77232142857142, 167.76977040816325]
🇬🇬	[181.11002886002885, 186.92550505050505, 224.7507215007215]
👩🏿‍🤝‍👩🏻	[176.8637702503682, 177.14347079037802, 191.47349042709868]
🧑🏻‍🚒	[147.317801819523, 163.18822227686255, 199.72362921072045]
🛩️	[220.18771024893474, 216.40423861852435, 212.23211482395155]
🎞	[154.40535193669305, 178.04102457309455, 191.75635152019993]
🕣	[219.4280508121616, 218.46366097459392, 217.4563723448563]
🏠	[163.92784458834413, 180.15148011100834, 200.10326086956522]
💆🏼‍♂️	[178.85288181206548, 195.8899977573447, 213.2630634671451]
◀	[136.46967213114755, 136.46967213114755, 136.46967213114755]
🙍🏾‍♀️	[113.15516726403823, 104.7886798088411, 136.78016726403823]
🕢	[219.64337775926697, 218.6744064972928, 217.67628071636818]
🤘🏻	[207.34163362410786, 226.80634417129264, 247.87153053132434]
😳	[149.85880882965432, 206.99770928779674, 236.4637650978759]
🧪	[214.55340859748154, 233.0109639600521, 209.45386452453323]
🇳🇬	[156.30501443001444, 178.6156204906205, 121.54256854256855]
🤸🏻‍♂	[234.59683078664403, 236.09541595925296, 234.9732880588568]
🌚	[141.4558790593505, 128.7912653975364, 123.95341545352744]
🧎🏼‍♂	[192.28522972556274, 191.56490903484428, 207.71847055195806]
🧠	[188.08470617162527, 171.9611507253504, 228.7691172854684]
🇧🇮	[144.82251082251082, 170.69480519480518, 167.77633477633478]
💪🏿	[151.6384597378277, 156.1811797752809, 166.69850187265916]
🦸🏿	[147.85626508667983, 138.2321702874698, 167.76234364713628]
🍾	[206.056640625, 219.63270399305554, 220.38812934027777]
👴🏽	[147.19758812615956, 165.4305426716141, 194.3333719851577]
🤱🏻	[158.31291666666667, 159.77013888888888, 167.26708333333335]
🕦	[219.43065389421074, 218.45710120783008, 217.4479383590171]
⬅️	[193.92024156601417, 174.84256559766763, 151.84818825489378]
🏃🏾‍♀	[213.3870101986044, 213.91921631776705, 217.52120236178206]
🚡	[190.1211323238973, 209.33278472679393, 213.13232389730086]
🧘🏼‍♂️	[189.05212765957447, 209.0580378250591, 236.64290780141843]
👨🏻‍🍳	[196.6249699879952, 207.87286914765906, 219.7717887154862]
