🇧🇴	[67.69444444444444, 155.23037037037037, 173.3037037037037]
🙆🏾‍♂️	[147.04910714285714, 170.2796556122449, 117.625]
🇷🇪	[180.59333333333333, 83.30666666666667, 167.8848148148148]
🤽🏿‍♂️	[197.1329719387755, 187.80070153061226, 170.2091836734694]
🧑‍🚒	[84.23177083333333, 150.60230654761904, 224.5576636904762]
💇🏼‍♂	[169.76942355889724, 204.40288220551378, 194.2907268170426]
🧜🏿‍♂️	[204.09649122807016, 211.156432748538, 190.34429824561403]
🏘️	[85.93973214285714, 168.453125, 198.81058673469389]
☁️	[250.85627177700349, 226.58580139372822, 210.9006968641115]
🏣	[143.10204081632654, 149.42633928571428, 176.33673469387756]
🤷🏻‍♂️	[180.3297193877551, 200.01626275510205, 154.96364795918367]
🧑🏿‍✈	[118.98958333333333, 126.27864583333333, 132.46540178571428]
👇🏻	[206.0101461038961, 234.29991883116884, 247.8068181818182]
🧖🏾‍♀️	[169.65977443609023, 173.63565162907267, 175.1472431077694]
👩🏽‍✈️	[124.86078717201165, 138.6115160349854, 150.14723032069972]
🦂	[175.86588693957114, 178.76374269005848, 188.48538011695908]
👨🏼‍⚖️	[131.80576441102758, 166.30889724310777, 184.60745614035088]
👨🏻	[149.76242236024845, 170.6110248447205, 181.96700310559007]
🙏🏻	[229.3360969387755, 218.57270408163265, 214.00223214285714]
🧜🏽‍♂️	[209.38048245614036, 220.64327485380116, 201.54641812865498]
🧓🏻	[182.26283300844705, 200.361273554256, 209.03118908382066]
🏌️‍♀	[222.79276315789474, 192.4953007518797, 203.781484962406]
🤜🏼	[166.4892026578073, 203.08014950166114, 224.51453488372093]
🤞🏻	[191.49671052631578, 227.56813909774436, 244.49765037593986]
🕴🏿	[166.82857142857142, 167.25625, 169.74553571428572]
🇱🇧	[145.62296296296296, 150.31703703703704, 228.49037037037036]
🤸🏾‍♂	[221.50573979591837, 227.7139668367347, 226.49744897959184]
💆🏾‍♂️	[136.4012390670554, 160.45845481049562, 152.12208454810497]
🕵🏻‍♂	[171.94736842105263, 182.79793233082708, 188.27944862155388]
📈	[204.64630325814537, 206.09649122807016, 215.26597744360902]
🏃‍♂	[209.18227272727273, 223.2281818181818, 216.71545454545455]
👩🏾‍🎤	[135.140350877193, 126.08364661654136, 161.16196741854637]
👸🏿	[147.8063186813187, 152.67342032967034, 155.3650412087912]
🧜🏻‍♂	[220.15899122807016, 234.41593567251462, 213.57309941520467]
🦸🏻	[185.12201591511936, 179.68611847922193, 211.38770999115826]
🕶️	[116.74913793103448, 116.74913793103448, 116.74913793103448]
💧	[249.46334586466165, 210.55686090225564, 187.67246240601503]
🎧	[226.43176020408163, 203.60554846938774, 187.92283163265307]
🤶🏿	[161.50818452380952, 163.10602678571428, 209.76153273809524]
👃🏽	[172.93471074380165, 194.5206611570248, 213.3276859504132]
🏊🏼‍♂	[223.8696172248804, 199.0909090909091, 161.24920255183414]
🧑🏾‍⚕	[141.38839285714286, 153.0, 164.95052083333334]
🚣🏻‍♀	[189.09122807017545, 186.0682615629984, 192.54704944178627]
🐨	[198.20888594164455, 198.20722811671087, 199.8580901856764]
👼	[144.56473214285714, 187.9142219387755, 191.26211734693877]
🖐🏻	[200.05142857142857, 231.2332142857143, 246.13]
🇨🇷	[153.01074074074074, 120.92925925925925, 182.80185185185186]
🖊	[247.33864795918367, 230.96141581632654, 216.20376275510205]
🥏	[166.2554664723032, 195.63338192419826, 243.04227405247812]
🧑🏽‍🤝‍🧑🏿	[177.60683497536945, 184.08743842364532, 190.5588054187192]
⛓	[219.44138198757764, 219.44138198757764, 219.44138198757764]
2️⃣	[239.95248724489795, 198.12468112244898, 143.44164540816325]
👳🏽	[186.15160349854227, 194.88884839650146, 204.63483965014578]
👩‍👩‍👦‍👦	[110.86989795918367, 137.7439413265306, 173.54878826530611]
🚴‍♂	[196.82572751322752, 216.5406746031746, 203.4292328042328]
🌇	[81.2547831632653, 137.7423469387755, 199.99457908163265]
👩🏼‍🤝‍👩🏿	[192.78940886699507, 170.00400246305418, 195.02309113300493]
🏳	[244.3517219387755, 244.3517219387755, 244.3517219387755]
🚵🏾	[151.734649122807, 170.68327067669173, 179.5388471177945]
🎍	[162.0183673469388, 213.88520408163265, 194.85918367346937]
▶️	[52.611607142857146, 164.4875637755102, 249.9314413265306]
⏰	[198.2330994897959, 209.85299744897958, 202.99808673469389]
🦈	[233.40997229916897, 215.5647891658972, 201.32225300092335]
😯	[73.17195767195767, 216.31216931216932, 233.364417989418]
🖨	[191.46703296703296, 191.46703296703296, 191.46703296703296]
🇵🇫	[144.28925925925927, 143.2674074074074, 226.5462962962963]
👩🏻‍💼	[174.91107871720118, 178.9216472303207, 180.8305393586006]
🗃	[142.24904336734693, 169.87244897959184, 171.3156887755102]
🇻🇨	[115.15851851851852, 188.56925925925927, 147.17851851851853]
🚵🏽	[153.6500626566416, 172.2421679197995, 180.70394736842104]
🕚	[224.40625, 221.3268494897959, 217.30580357142858]
👨🏻‍🎤	[172.2437343358396, 186.40131578947367, 170.19110275689223]
⏭	[82.52232142857143, 176.234375, 247.44770408163265]
💫	[209.95022796352583, 235.45478723404256, 230.13867781155014]
👉🏼	[185.91071428571428, 214.5668604651163, 231.50996677740864]
🧖🏽‍♀	[177.54260651629073, 180.81171679197996, 183.8264411027569]
🙆🏾‍♂	[147.04910714285714, 170.2796556122449, 117.625]
🤷🏾	[109.10494987468671, 152.93327067669173, 195.48402255639098]
🤷🏼‍♂	[174.47838345864662, 206.3468045112782, 165.218671679198]
🗾	[206.70727040816325, 248.00637755102042, 227.99139030612244]
